AutoID,timestamp,location,price,FirstName,LastName
1,1/6/14 7:28,Brew've Been Served,11.34,Edvard,Vann
2,1/6/14 7:34,Hallowed Grounds,52.22,Hideki,Cocinaro
3,1/6/14 7:35,Brew've Been Served,8.33,Stenig,Fusil
4,1/6/14 7:36,Hallowed Grounds,16.72,Birgitta,Frente
5,1/6/14 7:37,Brew've Been Served,4.24,Sven,Flecha
6,1/6/14 7:38,Brew've Been Served,4.17,Cornelia,Lais
7,1/6/14 7:42,Coffee Cameleon,28.73,Linnea,Bergen
8,1/6/14 7:43,Brew've Been Served,9.6,Mat,Bramar
9,1/6/14 7:43,Brew've Been Served,16.9,Brand,Tempestad
10,1/6/14 7:47,Hallowed Grounds,16.53,Emile,Arpa
11,1/6/14 7:48,Hallowed Grounds,10.66,Kare,Orilla
12,1/6/14 7:49,Coffee Cameleon,8.39,Bertrand,Ovan
13,1/6/14 7:52,Brew've Been Served,32.83,Hennie,Osvaldo
14,1/6/14 7:54,Hallowed Grounds,16.88,Nils,Calixto
15,1/6/14 7:54,Coffee Cameleon,11.86,Adra,Nubarron
16,1/6/14 7:54,Hallowed Grounds,32.93,Rachel,Pantanal
17,1/6/14 7:55,Hallowed Grounds,8.05,Lucas,Alcazar
18,1/6/14 7:55,Brew've Been Served,3.67,Varja,Lagos
19,1/6/14 7:59,Brew've Been Served,8.88,Inga,Ferro
20,1/6/14 8:00,Brew've Been Served,4.27,Ruscella,Mies Haber
21,1/6/14 8:00,Hallowed Grounds,9.69,Anda,Ribera
22,1/6/14 8:01,Hallowed Grounds,10.07,Lidelse,Dedos
23,1/6/14 8:06,Brew've Been Served,18.24,Loreto,Bodrogi
24,1/6/14 8:06,Brew've Been Served,15.58,Minke,Mies
25,1/6/14 8:07,Brew've Been Served,5.66,Felix,Resumir
26,1/6/14 8:14,Coffee Cameleon,3.2,Carla,Forluniau
27,1/6/14 8:16,Brew've Been Served,14.97,Kanon,Herrero
28,1/6/14 8:16,Brew've Been Served,11.2,Linda,Lagos
29,1/6/14 8:17,Brew've Been Served,15.39,Dante,Coginian
30,1/6/14 8:23,Abila Airport,4540.08,Albina,Hafon
31,1/6/14 9:06,Kronos Pipe and Irrigation,242.21,Albina,Hafon
32,1/6/14 10:02,Nationwide Refinery,761.64,Cecilia,Morluniau
33,1/6/14 10:18,Maximum Iron and Steel,2859.51,Albina,Hafon
34,1/6/14 11:33,Stewart and Sons Fabrication,2144.62,Cecilia,Morluniau
35,1/6/14 11:57,Carlyle Chemical Inc.,3959.66,Albina,Hafon
36,1/6/14 12:00,Coffee Shack,51.51,Varro,Awelon
37,1/6/14 12:00,Bean There Done That,10.28,Lars,Azada
38,1/6/14 12:00,Bean There Done That,16.09,Felix,Balas
39,1/6/14 12:00,Brewed Awakenings,5.72,Ingrid,Barranco
40,1/6/14 12:00,Jack's Magical Beans,11.03,Isak,Baza
41,1/6/14 12:00,Brewed Awakenings,16.89,Isande,Borrasca
42,1/6/14 12:00,Bean There Done That,8.54,Axel,Calzas
43,1/6/14 12:00,Brewed Awakenings,4.35,Ada,Campo-Corrente
44,1/6/14 12:00,Bean There Done That,5.24,Gustav,Cazar
45,1/6/14 12:00,Bean There Done That,4.27,Vira,Frente
46,1/6/14 12:00,Jack's Magical Beans,18.59,Elsa,Orilla
47,1/6/14 12:00,Jack's Magical Beans,27.84,Orhan,Strum
48,1/6/14 12:00,Jack's Magical Beans,18.1,Willem,Vasco-Pais
49,1/6/14 12:16,Abila Airport,1873.79,Henk,Mies
50,1/6/14 12:56,Katerina’s Café,13.68,Ada,Campo-Corrente
51,1/6/14 12:57,Hippokampos,9.16,Orhan,Strum
52,1/6/14 13:18,Abila Zacharo,106.93,Carla,Forluniau
53,1/6/14 13:19,Gelatogalore,12.74,Linnea,Bergen
54,1/6/14 13:19,Kalami Kafenion,70.1,Varja,Lagos
55,1/6/14 13:20,Hippokampos,34.03,Anda,Ribera
56,1/6/14 13:21,Hippokampos,28.23,Lucas,Alcazar
57,1/6/14 13:22,Ouzeri Elian,38.9,Isande,Borrasca
58,1/6/14 13:23,Hippokampos,13.26,Edvard,Vann
59,1/6/14 13:24,Guy's Gyros,15.44,Lars,Azada
60,1/6/14 13:27,Abila Zacharo,30.08,Ingrid,Barranco
61,1/6/14 13:27,Abila Zacharo,50.14,Kanon,Herrero
62,1/6/14 13:28,Katerina’s Café,33.54,Linda,Lagos
63,1/6/14 13:28,Kalami Kafenion,8.64,Ruscella,Mies Haber
64,1/6/14 13:30,Guy's Gyros,16.92,Sven,Flecha
65,1/6/14 13:35,Hippokampos,36.54,Rachel,Pantanal
66,1/6/14 13:35,Abila Zacharo,92.05,Isia,Vann
67,1/6/14 13:37,Ouzeri Elian,20.56,Stenig,Fusil
68,1/6/14 13:39,Guy's Gyros,11.22,Marin,Onda
69,1/6/14 13:41,Gelatogalore,22.64,Nils,Calixto
70,1/6/14 13:42,Ouzeri Elian,20.4,Vira,Frente
71,1/6/14 13:46,Guy's Gyros,30.82,Felix,Balas
72,1/6/14 13:46,Katerina’s Café,18.56,Isak,Baza
73,1/6/14 13:46,Guy's Gyros,99.67,Willem,Vasco-Pais
74,1/6/14 13:47,Kalami Kafenion,22.13,Gustav,Cazar
75,1/6/14 13:48,Ouzeri Elian,20.74,Cornelia,Lais
76,1/6/14 13:48,Ouzeri Elian,30.87,Bertrand,Ovan
77,1/6/14 13:50,Katerina’s Café,13.59,Lidelse,Dedos
78,1/6/14 13:50,Katerina’s Café,32.64,Birgitta,Frente
79,1/6/14 13:52,Kalami Kafenion,22.31,Minke,Mies
80,1/6/14 13:52,Gelatogalore,36.33,Kare,Orilla
81,1/6/14 13:53,Katerina’s Café,36.95,Adra,Nubarron
82,1/6/14 13:54,Abila Zacharo,23.15,Hennie,Osvaldo
83,1/6/14 13:57,Hippokampos,8.64,Axel,Calzas
84,1/6/14 13:58,Hippokampos,38.25,Dante,Coginian
85,1/6/14 13:59,Katerina’s Café,39.41,Loreto,Bodrogi
86,1/6/14 14:00,Kalami Kafenion,13.08,Varro,Awelon
87,1/6/14 14:00,Gelatogalore,23.41,Inga,Ferro
88,1/6/14 14:04,Hippokampos,30.88,Mat,Bramar
89,1/6/14 14:05,Abila Zacharo,78.11,Hideki,Cocinaro
90,1/6/14 14:15,Kalami Kafenion,27.4,Emile,Arpa
91,1/6/14 14:17,Katerina’s Café,19.65,Felix,Resumir
92,1/6/14 15:14,Abila Airport,777.06,Albina,Hafon
