AutoID,timestamp,location,price,FirstName,LastName
1,1/6/14,Brew've Been Served,4.17,Cornelia,Lais
2,1/6/14,Brew've Been Served,9.6,Mat,Bramar
3,1/6/14,Hallowed Grounds,16.53,Emile,Arpa
4,1/6/14,Coffee Shack,11.51,Varro,Awelon
5,1/6/14,Hallowed Grounds,12.93,Rachel,Pantanal
6,1/6/14,Brew've Been Served,4.27,Ruscella,Mies Haber
7,1/6/14,Brew've Been Served,11.2,Linda,Lagos
8,1/6/14,Brew've Been Served,15.39,Dante,Coginian
9,1/6/14,Abila Zacharo,26.93,Carla,Forluniau
10,1/6/14,Hippokampos,34.03,Anda,Ribera
11,1/6/14,Kalami Kafenion,8.64,Ruscella,Mies Haber
12,1/6/14,Katerina’s Café,33.54,Linda,Lagos
13,1/6/14,Hippokampos,36.54,Rachel,Pantanal
14,1/6/14,Ouzeri Elian,20.74,Cornelia,Lais
15,1/6/14,Kalami Kafenion,13.08,Varro,Awelon
16,1/6/14,Hippokampos,38.25,Dante,Coginian
17,1/6/14,Hippokampos,30.88,Mat,Bramar
18,1/6/14,Kalami Kafenion,27.4,Emile,Arpa
19,1/6/14,Katerina’s Café,38.65,Linda,Lagos
20,1/6/14,Katerina’s Café,26.46,Emile,Arpa
21,1/6/14,Frydos Autosupply n' More,80.85,Dante,Coginian
22,1/6/14,Frydos Autosupply n' More,175.87,Cornelia,Lais
23,1/6/14,Katerina’s Café,28,Anda,Ribera
24,1/6/14,Hippokampos,24.41,Varro,Awelon
25,1/6/14,Frydos Autosupply n' More,89.3,Ruscella,Mies Haber
26,1/6/14,Katerina’s Café,26.51,Mat,Bramar
27,1/7/14,Brew've Been Served,12.74,Cornelia,Lais
28,1/7/14,Hallowed Grounds,8.91,Emile,Arpa
29,1/7/14,Coffee Shack,16.63,Varro,Awelon
30,1/7/14,Brew've Been Served,4.39,Ruscella,Mies Haber
31,1/7/14,Brew've Been Served,11.91,Mat,Bramar
32,1/7/14,Hallowed Grounds,8.42,Rachel,Pantanal
33,1/7/14,Coffee Cameleon,12.44,Carla,Forluniau
34,1/7/14,Brew've Been Served,17.4,Dante,Coginian
35,1/7/14,Hallowed Grounds,10.33,Anda,Ribera
36,1/7/14,Brew've Been Served,15.66,Linda,Lagos
37,1/7/14,Kalami Kafenion,11.64,Ruscella,Mies Haber
38,1/7/14,Ouzeri Elian,28.37,Mat,Bramar
39,1/7/14,Ouzeri Elian,17.71,Cornelia,Lais
40,1/7/14,Abila Zacharo,32.4,Carla,Forluniau
41,1/7/14,Gelatogalore,36.5,Rachel,Pantanal
42,1/7/14,Ouzeri Elian,21.85,Linda,Lagos
43,1/7/14,Katerina’s Café,37.44,Dante,Coginian
44,1/7/14,Gelatogalore,15.4,Anda,Ribera
45,1/7/14,Hippokampos,37.57,Emile,Arpa
46,1/7/14,Albert's Fine Clothing,78.91,Varro,Awelon
47,1/7/14,Katerina’s Café,31.6,Linda,Lagos
48,1/7/14,Katerina’s Café,25.02,Dante,Coginian
49,1/7/14,Guy's Gyros,23.12,Cornelia,Lais
